open,close,low,high,avgGas,timestamp
41.91,44.52,30.0,94.73,85103.40333666667,2022-04-29T14:00:06.985Z
48.82,56.22,31.91,80.89,76993.02964833332,2022-04-29T15:00:10.544Z
37.16,50.03,33.92,162.9,77774.52647166667,2022-04-29T16:00:14.003Z
78.32,64.58,52.18,195.2,106128.33865833332,2022-04-29T17:00:17.218Z
56.67,68.92,45.2,113.74,98739.85447166672,2022-04-29T18:00:20.622Z
67.94,66.87,31.72,91.05,93479.11225166668,2022-04-29T19:00:26.636Z
47.28,78.56,32.01,93.52,94669.36142166668,2022-04-29T20:00:29.309Z
41.58,45.09,28.85,77.43,88147.06610333335,2022-04-29T21:00:32.720Z
48.01,44.15,26.54,65.06,90529.07523333332,2022-04-29T22:00:44.056Z
31.94,33.15,26.65,66.12,95303.364685,2022-04-29T23:00:46.444Z
30.65,30.64,22.81,49.3,95804.36045,2022-04-30T00:00:48.673Z
29.04,35.32,24.1,73.53,84660.16357666666,2022-04-30T01:00:51.143Z
54.14,40.7,27.3,60.3,89071.91172499997,2022-04-30T02:00:53.474Z
29.95,39.65,25.0,67.67,89843.38024,2022-04-30T03:00:56.298Z
27.51,26.47,22.13,49.56,93685.5209101695,2022-04-30T04:00:59.473Z
31.76,27.89,20.6,45.54,95634.69303666668,2022-04-30T05:00:02.039Z
35.98,27.63,21.96,50.23,97088.99908833337,2022-04-30T06:00:04.539Z
29.41,39.46,21.06,51.87,95415.73289499996,2022-04-30T07:00:07.153Z
28.25,27.83,21.19,41.0,87143.98856333335,2022-04-30T08:00:17.876Z
32.2,29.1,21.0,42.99,95157.74258666665,2022-04-30T09:00:19.907Z
26.44,28.98,21.67,48.47,92325.531145,2022-04-30T10:00:23.011Z
37.88,33.8,20.84,61.51,89688.00421333332,2022-04-30T11:00:26.564Z
33.37,36.29,23.35,52.45,90095.74728833332,2022-04-30T12:00:29.442Z
48.68,31.53,31.53,102.97,65252.81017166666,2022-04-30T13:00:32.874Z
65.5,47.12,36.2,85.17,75890.004435,2022-04-30T14:00:36.454Z
63.52,75.72,38.01,92.71,75631.00275333333,2022-04-30T15:00:39.607Z
64.55,85.24,38.69,130.86,72575.71207333333,2022-04-30T16:00:43.027Z
83.47,79.66,36.92,100.01,74309.31952833335,2022-04-30T17:00:46.184Z
48.89,74.64,30.0,91.04,82026.75869,2022-04-30T18:00:49.528Z
39.84,37.48,30.0,67.33,78338.86873666666,2022-04-30T19:00:52.867Z
45.54,35.12,26.9,67.74,86602.49118666667,2022-04-30T20:00:55.720Z
46.5,50.74,32.13,84.93,82433.14888644069,2022-04-30T21:00:59.936Z
39.89,51.13,34.28,87.88,80638.32942833335,2022-04-30T22:00:02.775Z
75.44,39.61,39.61,192.08,77183.00527499997,2022-04-30T23:00:05.788Z
161.9,75.26,57.37,276.12,61596.035200000006,2022-05-01T00:00:08.894Z
5529.71,192.09,168.65,9376.56,195141.8284416666,2022-05-01T01:00:11.694Z
5996.93,5000.0,4900.0,6885.12,161822.6660133334,2022-05-01T02:00:14.927Z
812.76,6219.42,688.98,7313.47,122669.12421,2022-05-01T03:00:18.735Z
363.91,551.02,250.25,785.37,67249.87100500001,2022-05-01T04:00:20.754Z
146.88,295.73,118.88,399.93,81232.1561633333,2022-05-01T05:00:22.445Z
95.44,154.28,56.64,165.94,83158.3557316667,2022-05-01T06:00:24.605Z
97.29,80.82,47.77,104.99,75728.61099333335,2022-05-01T07:00:32.833Z
41.88,67.72,36.0,89.74,69261.07665333332,2022-05-01T08:00:35.564Z
41.66,38.37,30.0,61.3,83611.21913333332,2022-05-01T09:00:38.503Z
43.21,42.63,30.0,65.38,96899.76939833334,2022-05-01T10:00:42.322Z
37.74,35.28,28.05,62.28,92443.42140666668,2022-05-01T11:00:46.057Z
33.09,46.15,27.0,74.36,96058.54103666663,2022-05-01T12:00:48.736Z
55.9,37.85,32.83,72.22,86363.77708499998,2022-05-01T13:00:50.958Z
