open,close,low,high,avgGas,timestamp
5.79,7.43,4.5,53.0,106970.45211333336,2022-09-16T10:00:45.592Z
6.0,5.76,4.78,30.0,79406.54421333333,2022-09-16T11:00:47.260Z
8.88,6.67,5.34,16.36,83222.63666500001,2022-09-16T12:00:49.057Z
19.9,8.59,6.0,58.57,89067.03460166664,2022-09-16T13:00:50.654Z
9.0,24.49,9.0,95.4,83771.145265,2022-09-16T14:00:52.259Z
12.64,12.0,9.38,27.03,98707.42581,2022-09-16T15:00:53.784Z
12.39,18.29,10.98,375.43,87868.52425666666,2022-09-16T16:00:55.240Z
9.77,11.75,9.08,104.27,93924.06422833334,2022-09-16T17:00:56.788Z
12.29,12.61,7.56,80.0,86351.01467166668,2022-09-16T18:00:58.296Z
9.33,12.2,7.31,20.0,87987.28141525426,2022-09-16T19:00:59.751Z
18.02,9.22,6.0,42.07,90986.30038166666,2022-09-16T20:00:01.491Z
10.09,15.53,6.0,45.15,84046.69389500002,2022-09-16T21:00:02.873Z
6.1,7.78,4.03,13.25,93666.0411716667,2022-09-16T22:00:04.290Z
5.39,6.1,3.32,18.0,111746.21605666664,2022-09-16T23:00:05.946Z
4.79,5.17,3.0,17.77,111267.26669333331,2022-09-17T00:00:07.328Z
6.6,4.05,3.0,55.36,105577.96722,2022-09-17T01:00:08.633Z
5.62,6.21,3.0,7.36,104615.35011500002,2022-09-17T02:00:09.975Z
4.11,4.07,3.0,9.19,122851.54816610173,2022-09-17T03:00:11.237Z
4.0,4.09,2.47,12.31,102892.70714500002,2022-09-17T04:00:50.552Z
4.0,4.0,2.51,30.0,73017.50736333334,2022-09-17T05:00:51.729Z
4.0,4.0,2.7,13.06,68324.74228333335,2022-09-17T06:00:53.577Z
6.19,4.0,3.0,58.3,80279.61698333336,2022-09-17T07:00:54.750Z
6.39,7.19,4.0,416.63,110524.15084333331,2022-09-17T08:00:57.468Z
7.12,5.43,4.0,12.49,101698.70216440674,2022-09-17T09:00:58.661Z
5.28,7.05,4.0,8.95,78795.15779499999,2022-09-17T10:00:00.029Z
5.14,5.65,4.0,11.59,90194.74976166667,2022-09-17T11:00:02.037Z
6.83,5.99,4.0,14.59,146796.35797166664,2022-09-17T12:00:03.478Z
6.54,6.34,4.0,21.09,98170.90994499999,2022-09-17T13:00:05.465Z
14.98,5.52,4.0,30.0,96251.99215499994,2022-09-17T14:00:08.201Z
9.51,16.66,4.0,38.29,97549.02901166663,2022-09-17T15:00:10.764Z
7.1,9.18,5.0,16.03,95686.95957833332,2022-09-17T16:00:12.600Z
5.84,5.12,4.0,23.03,93854.03132833332,2022-09-17T17:00:15.153Z
5.3,6.26,4.0,27.82,140125.9234583333,2022-09-17T18:00:16.358Z
8.48,5.69,4.0,150.0,89432.40325333337,2022-09-17T19:00:17.747Z
8.04,8.0,5.23,57.59,97892.97447000002,2022-09-17T20:00:19.070Z
5.03,6.72,3.5,7.11,88486.03487000003,2022-09-17T21:00:20.853Z
5.3,5.65,3.0,8.69,94707.94867833333,2022-09-17T22:00:22.292Z
3.82,3.0,2.14,5.51,112860.18668666668,2022-09-17T23:00:23.917Z
4.38,4.44,2.08,7.66,109389.86270333332,2022-09-18T00:00:25.959Z
6.78,4.53,2.0,43.09,99662.81713000002,2022-09-18T01:00:28.788Z
5.84,6.82,2.54,8.9,104415.82381666669,2022-09-18T02:00:30.973Z
5.08,5.39,2.22,6.81,111685.58911929821,2022-09-18T03:00:32.309Z
